
title: 2019
description: 2019
sidebar: oidc

|Release|Produksjonsetting|Beskrivelse|
|-|-|-|
|19-01 OIDC|Jan 22, 2019| API-basert selvbetjening av scopes, samt ytelseforbedringer. |
|19-03 OIDC|Mar 19, 2019| Fjerne støtte for implisitt-flyt i OIDC |
|19-05 eIDAS|May 7, 2019| Støtte for entydig gjenkjenning av europeiske brukere gjennom Modernisert Folkeregister |
|19-04 ID-porten|Jun 6, 2019| Støtte for innloggingshistorikk og app-innlogginger med sentraisert revokasjon i ID-portens brukerprofil  |
|19-06 OIDC|Jun 11, 2019| Støtte for asymmetriske nøkler.    Støtte for audience-begrensa token. |
|19-08 OIDC|Aug 26, 2019| Lansering av Maskinporten etter vellukka pilot-periode.    Lansering av web-basert sjølvbetjening på samarbeidsportalen. |
|19-09 OIDC|Oct 3, 2019| Nytt access_token-format som støtter eOppslag-referansearkitekturen, samt muligheit for whitelisting av tilgang. |
|19-11 OIDC|Dec 10, 2019| Siste release før jul etablerer Maskinporten som ei sjølvstendig teneste, og samstundes lanserer me i samarbeid med Altinn ein pilot der kunder kan delegering tildelte API-tilganger vidare til underleverandørar.    For OIDC-provider inneheld releasen primært ein del ytelsesforbetringar.  |
